C01-EAN_CODE;C03-COM_REF;REF PHY;C05-GLOBAL_BRAND;C06-COLOR;C07-NAME;Description;C09-COMPOSITION_MATERIAL;C10-PRODUCT_DIMENSIONS;C17-GENDER;C18-SIZE;C19-SEC_ATT;C20-WEB_SIZE;C21-RRP_WO_VAT;C21-RRP_WITH_VAT;special price
;1972-39-NERO;1972NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;39;2;;120;146,5;55
;1972-40-BORDEAUX;1972BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;40;1;;120;146,5;55
;1972-40-NERO;1972NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;40;1;;120;146,5;55
;1972-41-NERO;1972NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;41;4;;120;146,5;55
;1973-38-BORDEAUX;1973BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;38;2;;120;146,5;55
;1973-40-BORDEAUX;1973BOR;VILLA SHOES;Bordeaux;TRONCHETTO DONNA VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;40;1;;120;146,5;55
;2311-36-BLU;2311BLU;VILLA SHOES;BLU;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;36;1;;89;108,6;39,9
;2311-37-BLU;2311BLU;VILLA SHOES;BLU;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;37;1;;89;108,6;39,9
;2311-37-BORDEAUX;2311BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;37;1;;89;108,6;39,9
;2311-37-NERO;2311NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;37;2;;120;146,5;39,9
;2311-38-BLU;2311BLU;VILLA SHOES;Blu;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;38;1;;89;108,6;39,9
;2311-38-BORDEAUX;2311BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;38;2;;89;108,6;39,9
;2311-39-BLU;2311BLU;VILLA SHOES;Blu;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;39;2;;89;108,6;39,9
;2311-39-BORDEAUX;2311BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;39;5;;89;108,6;39,9
;2311-39-NERO;2311NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;39;2;;120;146,5;39,9
;2311-40-BLU;2311BLU;VILLA SHOES;Blu;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;40;;;89;108,6;39,9
;2311-40-BORRDEAUX;2311BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;40;1;;89;108,6;39,9
;2311-40-NERO;2311NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;40;3;;120;146,5;39,9
;2311-41-BLU;2311BLU;VILLA SHOES;BLU;DECOLLETE' VILLA SHOES NAVY;;PELLE MADE IN ITALY;;WOMEN;41;1;;89;108,6;39,9
;2311-41-BORDEAUX;2311BOR;VILLA SHOES;Bordeaux;DECOLLETE' VILLA SHOES BORDEAUX;;PELLE MADE IN ITALY;;WOMEN;41;2;;89;108,6;39,9
;4324-35-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;35;3;;89;108,6;49
;4324-36-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;36;1;;89;108,6;49
;4324-37-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;37;5;;89;108,6;49
;4324-38-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;38;9;;89;108,6;49
;4324-39-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;39;9;;89;108,6;49
;4324-40-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;40;4;;89;108,6;49
;4324-41-PORPORA;4324RO;LEMATTO;ROSSO;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;41;2;;89;108,6;49
;4324Z-36-BLU-BEIGE-ROSSO;4324ZBLUBEIRO;LEMATTO;BLU;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;36;5;;89;108,6;49
;4324Z-37-BLU-BEIGE-ROSSO;4324ZBLUBEIRO;LEMATTO;BLU;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;37;6;;89;108,6;49
;4324Z-39-BLU-BEIGE-ROSSO;4324ZBLUBEIRO;LEMATTO;BLU;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;39;5;;89;108,6;49
;4324Z-40-BLU-BEIGE-ROSSO;4324ZBLUBEIRO;LEMATTO;BLU;SANDALO ELASTICO DONNA;;ZEPPA 5 CM MADE IN ITALY;;WOMEN;40;2;;89;108,6;49
;4392-35-NUDE;4392NU;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;35;4;;69;84,20;49
;4392-36-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;36;6;;70;84,21;49
;4392-37-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;37;8;;71;84,22;49
;4392-38-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;38;9;;72;84,23;49
;4392-39-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;39;8;;73;84,24;49
;4392-40-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;40;8;;74;84,25;49
;4392-41-NUDE;126497GIA;LE MATTO;NUDE;CIABATTA DONNA;;ZEPPA 4 CM MADE IN ITALY;;WOMEN;41;4;;75;84,26;49
;4537-35-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;35;7;;89;108,6;49
;4537-36-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;36;6;;89;108,6;49
;4537-36-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;36;6;;89;108,6;49
;4537-37-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;37;6;;89;108,6;49
;4537-37-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;37;9;;89;108,6;49
;4537-37-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;37;5;;89;108,6;49
;4537-38-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;38;11;;89;108,6;49
;4537-38-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;38;6;;89;108,6;49
;4537-39-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;39;7;;89;108,6;49
;4537-39-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;39;2;;89;108,6;49
;4537-39-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;39;6;;89;108,6;49
;4537-40-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;40;6;;89;108,6;49
;4537-40-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;40;5;;89;108,6;49
;4537-41-CUOIO;4537MAR;LEMATTO;MARRONE;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;41;4;;89;108,6;49
;4537-41-PORPORA;4537RO;LEMATTO;ROSSO;SANDALO DONNA CON ZEPPA;;ZEPPA 6 CM MADE IN ITALY;;WOMEN;41;4;;89;108,6;49
;4540-35-NERO;4540NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;35;3;;89;108,6;49
;4540-35-TAN;4540MAR;LE MATTO;Marrone;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;35;3;;89;108,6;49
;4540-36-NERO;4540NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;36;7;;89;108,6;49
;4540-37-NERO;4540NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;37;3;;89;108,6;49
;4540-37-TAN;4540MAR;LE MATTO;Marrone;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;37;3;;89;108,6;49
;4540-38-NERO;4540NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;38;10;;89;108,6;49
;4540-38-TAN;4540MAR;LE MATTO;Marrone;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;38;3;;89;108,6;49
;4540-39-NERO;4540NE;LEMATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;39;6;;89;108,6;49
;4540-40-NERO;4540NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;40;3;;89;108,6;49
;4540-41-NERO;4540NE;LE MATTO;Nero;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;41;2;;89;108,6;49
;4540-41-TAN;4540MAR;LE MATTO;Marrone;SANDALO DONNA CON ZEPPA;;ZEPPA 3 CM MADE IN ITALY;;WOMEN;41;2;;89;108,6;49
;7733--38-GRIGIO;7733GRI;VILLA SHOES;Grigio;TRONCHETTO DONNA VILLA SHOES GRIGIO;;PELLE MADE IN ITALY;;WOMEN;38;1;;120;146,5;59
;7733-36-NERO;7733NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;36;3;;120;146,5;59
;7733-37-GRIGIO;7733GRI;VILLA SHOES;Grigio;TRONCHETTO DONNA VILLA SHOES GRIGIO;;PELLE MADE IN ITALY;;WOMEN;37;1;;120;146,5;59
;7733-37-NERO;7733NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;37;4;;120;146,5;59
;7733-39-GRIGIO;7733GRI;VILLA SHOES;Grigio;TRONCHETTO DONNA VILLA SHOES GRIGIO;;PELLE MADE IN ITALY;;WOMEN;39;3;;120;146,5;59
;7733-39-NERO;7733NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;39;5;;120;146,5;59
;7733-40-GRIGIO;7733GRI;VILLA SHOES;Grigio;TRONCHETTO DONNA VILLA SHOES GRIGIO;;PELLE MADE IN ITALY;;WOMEN;40;2;;120;146,5;59
;7733-40-NERO;7733NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;40;5;;120;146,5;59
;7733-41-GRIGIO;7733GRI;VILLA SHOES;Grigio;TRONCHETTO DONNA VILLA SHOES GRIGIO;;PELLE MADE IN ITALY;;WOMEN;41;2;;120;146,5;59
;7733-41-NERO;7733NE;VILLA SHOES;Nero;TRONCHETTO DONNA VILLA SHOES NERO;;PELLE MADE IN ITALY;;WOMEN;41;3;;120;146,5;59
;8333-35-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;3;;213,11;260;69,99
;8333-35-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;3;;213,11;260;69,99
;8333-35-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;3;;213,11;260;69,99
;8333-36-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;2;;213,11;260;69,99
;8333-36-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;2;;213,11;260;69,99
;8333-36-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;2;;213,11;260;69,99
;8333-37-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;1;;213,11;260;69,99
;8333-37-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;1;;213,11;260;69,99
;8333-37-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;1;;213,11;260;69,99
;8333-38-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;3;;213,11;260;69,99
;8333-38-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;3;;213,11;260;69,99
;8333-38-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;3;;213,11;260;69,99
;8333-39-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;5;;213,11;260;69,99
;8333-39-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;5;;213,11;260;69,99
;8333-39-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;5;;213,11;260;69,99
;8333-40-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;6;;213,11;260;69,99
;8333-40-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;6;;213,11;260;69,99
;8333-40-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;6;;213,11;260;69,99
;8333-41-NERO;8333NE;VILLA SHOES;Nero;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;4;;213,11;260;69,99
;8333-41-ROSSO;8333RO;VILLA SHOES;Rosso;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;4;;213,11;260;69,99
;8333-41-VERDE;8333VE;VILLA SHOES;Verde;TRONCHETTO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;4;;213,11;260;69,99
;90700-L-BIANCO;90700BIA;LAURA BIAGIOTTI;Bianco;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;L;5;;19,99;24,3878;4
;90700-L-NUDE;90700NU;LAURA BIAGIOTTI;Nude;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;L;2;;19,99;24,3878;4
;90700-M-BIANCO;90700BIA;LAURA BIAGIOTTI;Bianco;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;M;3;;19,99;24,3878;4
;90700-M-NUDE;90700NU;LAURA BIAGIOTTI;Nude;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;M;1;;19,99;24,3878;4
;90700-XL-BIANCO;90700BIA;LAURA BIAGIOTTI;Bianco;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;XL;3;;19,99;24,3878;4
;90700-XXL-BIANCO;90700BIA;LAURA BIAGIOTTI;Bianco;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;XXL;1;;19,99;24,3878;4
;90700-XXL-NUDE;90700NU;LAURA BIAGIOTTI;Nude;REGGISENO PUSH UP LAURA BIAGIOTTI NUDE;;;;WOMEN;XXL;5;;19,99;24,3878;4
;92030-L-BLU;92030BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;L;4;;15,99;19,5078;4
;92030-L-GRIGIO;92030GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTT GRIGIO;;;;WOMEN;M;6;;15,99;19,5078;4
;92030-L-LILLA;92030LIL;LAURA BIAGIOTTI;Lilla;SLIP DONNA LAURA BIAGIOTTI LILLA;;;;WOMEN;L;12;;15,99;19,5078;4
;92030-M-BLU;92030BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;M;12;;15,99;19,5078;4
;92030-M-GRIGIO;92030GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTT GRIGIO;;;;WOMEN;M;14;;15,99;19,5078;4
;92030-M-LILLA;92031LIL;LAURA BIAGIOTTI;Lilla;SLIP DONNA LAURA BIAGIOTTI LILLA;;;;WOMEN;M;19;;15,99;19,5078;4
;92030-XL-BLU;92030BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;XL;5;;15,99;19,5078;4
;92030-XL-GRIGIO;92030GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTT GRIGIO;;;;WOMEN;M;6;;15,99;19,5078;4
;92030-XL-LILLA;92030LIL;LAURA BIAGIOTTI;Lilla;SLIP DONNA LAURA BIAGIOTTI LILLA;;;;WOMEN;XL;10;;15,99;19,5078;4
;92034-L-BLU;92034BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;L;7;;15,99;19,5078;4
;92034-L-GRIGIO;92034GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTTI GRIGIO;;;;WOMEN;L;9;;15,99;19,5078;4
;92034-L-ROSA;92034ROSA;LAURA BIAGIOTTI;Rosa;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;L;10;;15,99;19,5078;4
;92034-M-BLU;92034BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;M;14;;15,99;19,5078;4
;92034-M-GRIGIO;92034GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTTI GRIGIO;;;;WOMEN;M;14;;15,99;19,5078;4
;92034-M-ROSA;92034ROSA;LAURA BIAGIOTTI;Rosa;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;M;21;;15,99;19,5078;4
;92034-XL-BLU;92034BLU;LAURA BIAGIOTTI;Blu;SLIP DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;XL;6;;15,99;19,5078;4
;92034-XL-GRIGIO;92034GRI;LAURA BIAGIOTTI;Grigio;SLIP DONNA LAURA BIAGIOTTI GRIGIO;;;;WOMEN;XL;5;;15,99;19,5078;4
;92034-XL-ROSA;92034ROSA;LAURA BIAGIOTTI;Rosa;SLIP DONNA LAURA BIAGIOTTI ROSA;;;;WOMEN;XL;11;;15,99;19,5078;4
;990704S-L-BIANCO;99704BIA;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;L;8;;15,99;19,5078;4
;990704S-L-NERO;99704NE;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;L;8;;15,99;19,5078;4
;990704S-L-SKIN;990704NU;LAURA BIAGIOTTI;Nude;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;L;10;;15,99;19,5078;4
;990704S-M-BIANCO;99704BIA;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;M;10;;15,99;19,5078;4
;990704S-M-NERO;99704NE;LAURA BIAGIOTTI;Nero;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;M;10;;15,99;19,5078;4
;990704S-M-SKIN;990704NU;LAURA BIAGIOTTI;Nude;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;M;10;;15,99;19,5078;4
;990704S-S-BIANCO;99704BIA;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;S;12;;15,99;19,5078;4
;990704S-S-NERO;990704NU;LAURA BIAGIOTTI;Nude;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;S;15;;15,99;19,5078;4
;990704S-S-SKIN;990704NU;LAURA BIAGIOTTI;Nude;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;S;5;;15,99;19,5078;4
;990704S-XL-BIANCO;99704BIA;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;XL;4;;15,99;19,5078;4
;990704S-XL-NERO;99704NE;LAURA BIAGIOTTI;;SLIP DONNA LAURA BIAGIOTTI IN COTONE;;;;WOMEN;XL;4;;15,99;19,5078;4
;APR5370-38-NERO;APR5370NE;HOSIS;Nero;TRONCHETTO DONNA HOSIS;;PELLE;;WOMEN;38;1;;59,9;73,1;34,9
;APR5370-39-NERO;APR5370NE;HOSIS;Nero;TRONCHETTO DONNA HOSIS;;PELLE;;WOMEN;39;1;;59,9;73,1;34,9
;APR5384-38-NERO;PRF5384NE;;Nero;STIVALE DONNA HOSIS;;PELLE;;WOMEN;38;1;;85;103,7;49
;APR5386-38-NERO;APR5386NE;;Nero;STIVALE DONNA HOSIS;;PELLE;;WOMEN;38;2;;86;103,8;49
;BIA92010S-L-BIANCO;BIA92010SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;L;11;;39,99;48,7878;9,9
;BIA92010S-M-BIANCO;BIA92010SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;M;11;;39,99;48,7878;9,9
;BIA92010S-S-BIANCO;BIA92010SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;S;5;;39,99;48,7878;9,9
;BIA92010S-XL-BIANCO;BIA92010SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;XL;3;;39,99;48,7878;9,9
;BIA92012S-L-BIANCO;BIA92012SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;L;9;;39,99;48,7878;9,9
;BIA92012S-L-BLU MARINO;BIA92012SBBLUM;LAURA BIAGIOTTI;Blu marino;CANOTTIERA DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;L;7;;39,99;48,7878;9,9
;BIA92012S-L-NERO;BIA92012SNE;LAURA BIAGIOTTI;Nero;CANOTTIERA DONNA LAURA BIAGIOTTI NERO;;;;WOMEN;L;28;;39,99;48,7878;9,9
;BIA92012S-M-BIANCO;BIA92012SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;M;10;;39,99;48,7878;9,9
;BIA92012S-M-BLU MARINO;BIA92012SBBLUM;LAURA BIAGIOTTI;Blu marino;CANOTTIERA DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;M;8;;39,99;48,7878;9,9
;BIA92012S-M-NERO;BIA92012SNE;LAURA BIAGIOTTI;Nero;CANOTTIERA DONNA LAURA BIAGIOTTI NERO;;;;WOMEN;M;26;;39,99;48,7878;9,9
;BIA92012S-S-BIANCO;BIA92012SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;S;4;;39,99;48,7878;9,9
;BIA92012S-S-BLU MARINO;BIA92012SBBLUM;LAURA BIAGIOTTI;Blu marino;CANOTTIERA DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;S;4;;39,99;48,7878;9,9
;BIA92012S-S-NERO;BIA92012SNE;LAURA BIAGIOTTI;Nero;CANOTTIERA DONNA LAURA BIAGIOTTI NERO;;;;WOMEN;S;13;;39,99;48,7878;9,9
;BIA92012S-XL-BIANCO;BIA92012SBIA;LAURA BIAGIOTTI;Bianco;CANOTTIERA DONNA LAURA BIAGIOTTI BIANCO;;;;WOMEN;XL;3;;39,99;48,7878;9,9
;BIA92012S-XL-BLU MARINO;BIA92012SBBLUM;LAURA BIAGIOTTI;Blu marino;CANOTTIERA DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;XL;2;;39,99;48,7878;9,9
;BIA92012S-XL-NERO;BIA92012SNE;LAURA BIAGIOTTI;Nero;CANOTTIERA DONNA LAURA BIAGIOTTI NERO;;;;WOMEN;XL;6;;39,99;48,7878;9,9
;BIA92013S-L-BLU;BIA920135BLU;LAURA BIAGIOTTI;Blu;CANOTTA DONNA LAURA BIAGIOTTI BLU;;;;WOMEN;L;5;;39,99;48,7878;9,9
;BIA92013S-L-CORALLO;BIA92013SCOR;LAURA BIAGIOTTI;Corallo;CANOTTIERA DONNA LAURA BIAGIOTTI CORALLO;;;;WOMEN;L;3;;39,99;48,7878;9,9
;BIA92013S-L-NERO;BIA92013SNNE;LAURA BIAGIOTTI;Nero;CANOTTIERA DONNA LAURA BIAGIOTTI NERO;;;;WOMEN;L;4;;39,99;48,7878;9,9
